,index,Unnamed: 0,relations,classes,features
729,4,4,"['Trump member of political party Democrats', 'Mulvaney significant event press conference', 'Trump different from Mulvaney', 'Donald Trump member of political party Republican', 'Trump candidate Trump', 'Mulvaney employer Mulvaney', 'Mulvaney instance of extremely dissatisfied', 'Ukraine diplomatic relation Trump', 'Trump facet of Trump', 'Mulvaney notable work extremely dissatisfied with the relevant speech', 'John F. Mulvaney position held President of the United States', 'press conference participant Mulvaney', 'Ukraine country Ukraine', 'Peking University located in the administrative territorial entity Beijing', 'President appointed by president', 'exchange of interests subclass of interests', 'mass media has part speech', 'Mulvaney position held President', 'military aid to Ukraine country Ukraine', 'Ukraine influenced by Trump', 'president appointed by president', 'Donald Trump position held President', 'Mulvv instance of exchange of interests']",military,"['military aid to Ukraine country Ukraine', 'Donald Trump position held President', 'Donald Trump member of political party Republican', 'Trump facet of Trump', 'Trump candidate Trump', 'President appointed by president', 'president appointed by president', 'mass media has part speech', 'Trump member of political party Democrats', 'John F. Mulvaney position held President of the United States', 'Mulvaney position held President', 'Trump different from Mulvaney', 'Mulvv instance of exchange of interests', 'Mulvaney employer Mulvaney', 'exchange of interests subclass of interests', 'press conference participant Mulvaney', 'Ukraine influenced by Trump', 'Ukraine diplomatic relation Trump', 'Peking University located in the administrative territorial entity Beijing']"
730,5,5,"['North Korea ethnic group North Korean people', 'North Korea shares border with South Korea', 'South Korea diplomatic relation North Korea', 'betrayal of evil opposite of good', 'evil has effect betrayal', 'repeated warnings facet of sensitive time', 'hostile exercise subclass of hostile exercise', 'South diplomatic relation United States', 'US diplomatic relation US', 'joint joint country North', 'South South America diplomatic relation United States', 'US located on terrain feature Korean peninsula', 'a sensitive time despite repeated warnings has effect arouse the anger of anger', 'hostile exercise participant North Korea', 'Korean Central News Agency member of Associated Press', 'betrayal of evil for good subclass of act of betrayal', 'US participant in Korean peninsula', 'patience facet of patience']",military,"['US located on terrain feature Korean peninsula', 'hostile exercise subclass of hostile exercise', 'US diplomatic relation US', 'evil has effect betrayal', 'repeated warnings facet of sensitive time', 'patience facet of patience', 'joint joint country North', 'South diplomatic relation United States', 'hostile exercise participant North Korea', 'US participant in Korean peninsula', 'North Korea ethnic group North Korean people', 'North Korea shares border with South Korea', 'betrayal of evil opposite of good', 'betrayal of evil for good subclass of act of betrayal', 'South Korea diplomatic relation North Korea', 'South South America diplomatic relation United States', 'a sensitive time despite repeated warnings has effect arouse the anger of anger']"
731,6,6,"['ambassador country U.S.', ""Biden investigation participant Trump's"", 'president part of presidency', 'investigation into Biden Biden participant Adam Schiff', 'Joe Biden position held President', 'U.S. diplomatic relation European Union', 'U.S. instance of security', 'Ukraine located in the administrative territorial entity Ukraine', 'interfere in the U.S. election country U.S.', 'Ukraine participant in Biden investigation', 'presidency office held by head of the organization president', 'Rudy Giuliani position held House Intelligence Committee Chairman', 'July 26 phone call between Trump and Gordon Sondland point in time July 26', 'Ukraine significant event impeachment inquiry', 'Rudy Giuliani occupation personal lawyer', 'House Intelligence Committee office held by head of the organization Chairman', ""Ukraine significant event Trump's strong Trump's strong"", 'Adam Schiff employer investigation into Biden Biden', 'An investigation is ready participant Trump', ""Trump's named after Trump's"", 'Ukraine influenced by Trump', 'European Union candidate Trump', 'Russia diplomatic relation Ukraine', 'European Union influenced by Trump', 'a July 26 phone call point in time July 26', 'Ukraine candidate Trump', ""Trump's facet of Trump's"", 'House Intelligence Committee country U.S.']",International Politics,"['ambassador country U.S.', 'interfere in the U.S. election country U.S.', 'U.S. diplomatic relation European Union', 'presidency office held by head of the organization president', 'Russia diplomatic relation Ukraine', 'House Intelligence Committee office held by head of the organization Chairman', 'House Intelligence Committee country U.S.', 'president part of presidency', 'U.S. instance of security', 'Rudy Giuliani position held House Intelligence Committee Chairman', 'Ukraine significant event impeachment inquiry', 'Rudy Giuliani occupation personal lawyer', 'European Union influenced by Trump', 'a July 26 phone call point in time July 26', ""Trump's facet of Trump's"", 'Ukraine located in the administrative territorial entity Ukraine', 'An investigation is ready participant Trump', 'European Union candidate Trump', 'Ukraine influenced by Trump']"
732,7,7,"['Trump work location Beijing', 'excessive demands country China', 'Trade Representative officeholder Robert Lighthizer', 'trade tensions escalate participant Chinese', 'forced technology transfer instance of technology transfer', 'Beijing diplomatic relation Washington', 'Washington diplomatic relation Beijing', 'trade tensions has effect escalate', 'China diplomatic relation United States', 'China can stop procurement country China', 'China diplomatic relation U.S.', 'first phase part of trade agreement', 'existing tariffs on Chinese imports applies to jurisdiction Beijing', 'Chinese diplomatic relation U.S.', 'U.S. member of U.N.', 'U.S. country U.S.', 'agreement to collapse participant U.S.']",Economics and Trade,"['first phase part of trade agreement', 'trade tensions has effect escalate', 'existing tariffs on Chinese imports applies to jurisdiction Beijing', 'trade tensions escalate participant Chinese', 'China can stop procurement country China', 'Trade Representative officeholder Robert Lighthizer', 'Trump work location Beijing', 'China diplomatic relation United States', 'excessive demands country China', 'China diplomatic relation U.S.', 'forced technology transfer instance of technology transfer', 'agreement to collapse participant U.S.', 'Chinese diplomatic relation U.S.', 'U.S. country U.S.', 'Washington diplomatic relation Beijing', 'U.S. member of U.N.']"
733,8,8,"['No No located in the administrative territorial entity Queensland', 'fighting wildfires facet of wildfire', 'east shares border with west', 'the other hand opposite of On the other hand', 'Tony position held Mayor', 'World Heritage Site maintained by UNESCO', 'coasts facet of coasts', 'southeast located in the administrative territorial entity southeast', 'fighting a fire location Brisbane', 'ordered the evacuation of residents instance of evacuation', 'World War II follows World War I', 'Queensland Fire and Emergency conflict fighting wildfires', 'New South Wales located in the administrative territorial entity New South Wales', 'intensity has cause Cooler weather', 'evacuated local residents had been evacuated instance of evacuated', 'east opposite of west', '13 firefighters were injured while injured located in the administrative territorial entity Queensland', 'second time in a week part of week', '8th point in time 8th', 'crashed crashed operator Services', 'Poland capital Kraków', 'bushfires in New South Wales location New South Wales', 'week in a week part of week', 'the other hand opposite of on the other hand', 'west opposite of east', 'Kraków Airport place served by transport hub Kraków', 'firefighters were injured while injured located in the administrative territorial entity Queensland', 'easing the intensity has cause Cooler weather', 'evacuated local residents had been evacuated location Wellington', 'Brisbane located in the administrative territorial entity Brisbane', 'Wellington located in the administrative territorial entity Wellington']",natural disaster,"['Queensland Fire and Emergency conflict fighting wildfires', 'World Heritage Site maintained by UNESCO', 'firefighters were injured while injured located in the administrative territorial entity Queensland', 'crashed crashed operator Services', 'intensity has cause Cooler weather', 'easing the intensity has cause Cooler weather', 'coasts facet of coasts', 'Brisbane located in the administrative territorial entity Brisbane', 'evacuated local residents had been evacuated location Wellington', 'fighting wildfires facet of wildfire', 'evacuated local residents had been evacuated instance of evacuated', 'fighting a fire location Brisbane', 'Wellington located in the administrative territorial entity Wellington', 'No No located in the administrative territorial entity Queensland', 'east shares border with west', '13 firefighters were injured while injured located in the administrative territorial entity Queensland', 'ordered the evacuation of residents instance of evacuation', 'week in a week part of week', 'east opposite of west']"
734,9,9,"['democratic rights and freedoms facet of democratic', 'held as scheduled part of election', 'University of Hong Kong part of Chinese University', 'commercial and cultural relations country Hong Kong', 'EU legislative body EU Council', ""EU parent organization EU's"", 'EU parent organization EU', 'renounce violence different from violence', 'demonstrations subclass of violence', 'EU has part EU27', 'election has part held as scheduled', 'violent conflicts continue to occur location Chinese', 'EU27 part of EU', 'violence subclass of causes of violence', 'EU has part member states', 'EU Office in Hong Kong part of EU', 'Maja Maja employer Associated Press', 'dialogue subclass of reconciliation', 'Maja Maja position held Associated PressEU spokesperson', 'EU Office in Hong Kong parent organization EU']",protest and riot,"['violent conflicts continue to occur location Chinese', 'demonstrations subclass of violence', 'violence subclass of causes of violence', 'democratic rights and freedoms facet of democratic', 'held as scheduled part of election', 'renounce violence different from violence', 'commercial and cultural relations country Hong Kong', 'election has part held as scheduled', 'University of Hong Kong part of Chinese University', 'dialogue subclass of reconciliation', 'EU legislative body EU Council', 'EU has part member states', 'Maja Maja employer Associated Press', 'EU Office in Hong Kong part of EU', 'EU27 part of EU', 'EU Office in Hong Kong parent organization EU', 'Maja Maja position held Associated PressEU spokesperson', 'EU parent organization EU', ""EU parent organization EU's""]"
735,10,10,"['Taiwan-related enterprises named after Taiwan-related enterprises', 'Aviation Administration instance of Aviation Administration', 'Mainland Affairs Council applies to jurisdiction Taiwan', 'embassies subclass of consulates', 'Civil country Taiwan', 'Spring Festival instance of Spring Festival', 'Taiwanese people part of Taiwanese people', 'mainland 5G networks subclass of 5G', 'Ma Xiaoguang member of political party compatriots', '2017 FIFA World Cup point in time 2017', 'Ma Xiaoguang father Ma Xiaoguang', 'business opportunities facet of business opportunities', 'rights and interests facet of rights', 'Communications Commission parent organization NCC', 'rights has part interests', 'Democratic Progressive Party country government', 'Help subclass of assistance', 'NCC subsidiary Communications Commission', '2017 FIFA U-20 World Cup point in time 2017', 'Communications Commission NCC country Taiwan', 'Visual China founded by Ma Xiaoguang', 'Help subclass of provide them with help', 'business opportunities subclass of business', 'Ma Xiaoguang field of work 5G', 'Ma Xiaoguang member of political party Democratic Progressive Party', 'Taiwanese compatriots located in the administrative territorial entity Taiwanese', '5G part of 5G industry', '2016 Summer Olympics point in time 2016']",other,"['Help subclass of assistance', 'rights has part interests', 'Help subclass of provide them with help', 'NCC subsidiary Communications Commission', 'rights and interests facet of rights', 'Democratic Progressive Party country government', 'embassies subclass of consulates', '2016 Summer Olympics point in time 2016', 'Taiwanese compatriots located in the administrative territorial entity Taiwanese', 'Communications Commission parent organization NCC', 'Spring Festival instance of Spring Festival', 'business opportunities facet of business opportunities', 'Taiwanese people part of Taiwanese people', '2017 FIFA World Cup point in time 2017', 'business opportunities subclass of business', 'Communications Commission NCC country Taiwan', 'Mainland Affairs Council applies to jurisdiction Taiwan', 'Ma Xiaoguang member of political party compatriots', '2017 FIFA U-20 World Cup point in time 2017']"
736,11,11,"['Hainan founded by Communist Party of China', 'Li Qiang member of CPC Central Committee', ""Fourth Plenary Session of the Central Committee of the Communist Party of China publisher People's Publishing House"", 'Xi Jinping member of political party Shanghai Municipal Party Committee', '10th CPPCC Zhejiang Provincial Committee inception January 2008', '19th CPC Central Committee follows Fourth Plenary Session', 'Xi Jinping position held Vice President of China', '17th National Congress of point in time January 2007', 'Shi Zhihong member of political party CCP', 'Zhejiang Province member of CPPCC', 'Lou Yangsheng member of political party Shanxi Provincial Party Committee', 'Hebei twinned administrative body Wuhan', 'CPC Central Committee subsidiary Political Bureau', 'Lou Yangsheng place of birth Pujiang', 'Z contains administrative territorial entity Pujiang', 'Hubei contains administrative territorial entity Hubei', 'Huangfu Ping part of last round of reform', ""Standing Committee of the National People's Congress part of National People's Congress"", 'Pujiang located in the administrative territorial entity Z', 'Political Bureau parent organization CPC Central Committee']",other,"['CPC Central Committee subsidiary Political Bureau', 'Hebei twinned administrative body Wuhan', 'Hubei contains administrative territorial entity Hubei', 'Political Bureau parent organization CPC Central Committee', ""Standing Committee of the National People's Congress part of National People's Congress"", 'Hainan founded by Communist Party of China', 'Z contains administrative territorial entity Pujiang', 'Pujiang located in the administrative territorial entity Z', 'Zhejiang Province member of CPPCC', 'Li Qiang member of CPC Central Committee', 'Huangfu Ping part of last round of reform', 'Lou Yangsheng member of political party Shanxi Provincial Party Committee', 'Lou Yangsheng place of birth Pujiang', 'Shi Zhihong member of political party CCP', '19th CPC Central Committee follows Fourth Plenary Session', ""Fourth Plenary Session of the Central Committee of the Communist Party of China publisher People's Publishing House"", '10th CPPCC Zhejiang Provincial Committee inception January 2008', '17th National Congress of point in time January 2007', 'Xi Jinping member of political party Shanghai Municipal Party Committee']"
737,12,12,"['rodents has effect epidemics', 'Beijing country China', 'clinical manifestations of the clinical manifestations subclass of clinical manifestations', 'pneumonic plague subclass of case fatality rate can left untreated', 'Xiling located in the administrative territorial entity Sunit Left Banner, Xiling', 'The patients are no danger said to be the same as The patients are no danger', 'rapid onset followed by short course', 'Chaoyang Hospital affiliation Please Please Please', 'mucus has effect cough', 'Harvard University subsidiary John F. Kennedy School of Government', 'Centers for Disease Control and Prevention field of work Centers for Disease Control', 'Beijing Chaoyang Hospital located in the administrative territorial entity Beijing', 'screening subclass of screening patients', 'Peking University country China', 'Pernod-Ricard country of citizenship France', 'Yersinia pestis has effect focal disease', 'focal disease subclass of disease', ""St. Luke's Hospital located in the administrative territorial entity London"", 'cough has cause cough', 'high fever has effect chills', 'Inner Mongolia located in the administrative territorial entity Inner Mongolia', 'Yersinia pestis parent taxon Plague Plague', ""Law of the People's Republic applies to jurisdiction People's Republic"", 'John F. Kennedy position held President', 'Data picturesPlague instance of rapid onset', 'epidemics in humans subclass of disease', 'Chaoyang Hospital affiliation Economic Observer Network Network', '1 to 6 days subclass of short', 'plague subclass of incubation period of plague', 'pneumonic plague has effect panic', 'Please Please place of death Chaoyang Hospital', 'Beijing contains administrative territorial entity Beijing', 'pneumonic plague has effect case fatality rate', 'short opposite of long', 'emergency department located in the administrative territorial entity Beijing', 'septicemic subclass of plague', 'short subclass of short', 'pneumonic plague different from pneumonic plague', 'medical part of departments', 'Plague has cause Yersinia pestis', 'official notification subclass of hang up the phone', 'fever clinics subclass of screening patients', 'medical studied by medical', 'pneumonic plague subclass of plague', 'infectious disease subclass of disease', 'chills subclass of rapid onset', 'epidemics subclass of disease', 'official notification subclass of notification']",medical related,"['medical studied by medical', 'medical part of departments', 'screening subclass of screening patients', 'clinical manifestations of the clinical manifestations subclass of clinical manifestations', 'Centers for Disease Control and Prevention field of work Centers for Disease Control', 'epidemics in humans subclass of disease', 'infectious disease subclass of disease', ""St. Luke's Hospital located in the administrative territorial entity London"", 'Chaoyang Hospital affiliation Please Please Please', 'Beijing Chaoyang Hospital located in the administrative territorial entity Beijing', 'pneumonic plague has effect panic', 'pneumonic plague has effect case fatality rate', 'fever clinics subclass of screening patients', 'pneumonic plague subclass of plague', 'Please Please place of death Chaoyang Hospital', 'epidemics subclass of disease', 'focal disease subclass of disease', 'The patients are no danger said to be the same as The patients are no danger', 'Chaoyang Hospital affiliation Economic Observer Network Network']"
738,13,13,"['Pav country China', 'unilateral subclass of trade protectionism', 'Tsipras position held Prime Minister Tsipras', 'General Assembly part of United Nations', 'attend to Brazil participant Xi Jinping', 'organized crime has effect combating', 'Britain capital London', 'Piraeus Port country Greece', 'COSCO Group subsidiary COSCO', 'trade protectionism instance of global trade protectionism', 'transferred to Brazil participant Xi Jinping', 'digital economy subclass of innovative technology', 'Xi Jinping employer British Museum', 'President officeholder Prokopis Pavlopoulos', '14th follows 13th', 'Xi Jinping ethnic group former Greek', 'digital economy facet of digital technology', 'Belt and Road Initiative country Greece', '14th point in time 14th', 'China diplomatic relation overseas', 'Piraeus Port located in the administrative territorial entity Piraeus', 'the stone sculptures that were stolen and were stolen country Britain', 'Acropolis Museum location Acropolis', 'Acropolis Museum owned by Reuters', 'Athens located in the administrative territorial entity Athens', 'Xi Jinping place of burial Parthenon', 'Greece diplomatic relation Britain', 'Xi Jinping has works in the collection British Museum', 'Xi Jinping ethnic group Chinese', 'World Bank Group replaced by World Bank Group II', 'Brazil country Brazil', 'the stone sculptures country Britain', 'Acropolis Museum located in the administrative territorial entity Athens']",International Politics and Diplomacy,"['China diplomatic relation overseas', 'Greece diplomatic relation Britain', 'General Assembly part of United Nations', 'Tsipras position held Prime Minister Tsipras', 'Acropolis Museum owned by Reuters', 'Xi Jinping has works in the collection British Museum', 'President officeholder Prokopis Pavlopoulos', 'attend to Brazil participant Xi Jinping', 'Britain capital London', 'trade protectionism instance of global trade protectionism', 'Acropolis Museum located in the administrative territorial entity Athens', 'Xi Jinping employer British Museum', 'the stone sculptures country Britain', 'digital economy facet of digital technology', 'unilateral subclass of trade protectionism', 'Xi Jinping ethnic group Chinese', 'organized crime has effect combating', 'World Bank Group replaced by World Bank Group II', 'Piraeus Port located in the administrative territorial entity Piraeus']"
739,14,14,"['severe condemnation of all all main subject severe condemnation of all', 'violence and chaos location Hong Kong SAR', 'rule of law subclass of upholding the rule of law', 'bottom line part of law', 'British people member of international community', 'violence and chaos has effect chaos', 'black hands country of origin UK', 'Cheng Ruohua significant event demonstrators', '2008 Summer Olympics point in time 2008', 'Liu Xiaoming child Liu Xiaoming', 'Cheng Ru facet of rule of law', 'Video screenshot facet of Video', 'State Council part of central government', 'Chinese people has part compatriots', 'UK authority central government', 'anti-China disruptors located in the administrative territorial entity Hong Kong', 'central government applies to jurisdiction UK', 'central government country UK', 'UK requires the British side country UK', 'Chinese Embassy in London country British', 'Liu Xiaoming father Liu Xiaoming', 'British side country UK', 'Hong Kong SAR government applies to jurisdiction Hong Kong SAR', 'Cheng Ruohua located in the administrative territorial entity Cheng Ruohua', 'Chinese personnel and institutions country Chinese', 'central government has part State Council', 'violence and chaos subclass of chaos']",protest and riot,"['violence and chaos has effect chaos', 'violence and chaos subclass of chaos', 'violence and chaos location Hong Kong SAR', 'Cheng Ruohua significant event demonstrators', 'anti-China disruptors located in the administrative territorial entity Hong Kong', 'severe condemnation of all all main subject severe condemnation of all', 'Cheng Ru facet of rule of law', 'bottom line part of law', 'Video screenshot facet of Video', 'rule of law subclass of upholding the rule of law', 'State Council part of central government', 'Chinese people has part compatriots', 'UK authority central government', 'Chinese personnel and institutions country Chinese', 'central government country UK', 'Hong Kong SAR government applies to jurisdiction Hong Kong SAR', 'central government has part State Council', '2008 Summer Olympics point in time 2008', 'central government applies to jurisdiction UK']"
740,15,15,"['Alistencer detencer Enencerboardboardboardboardboardboardboardboardboardboardboardboard Sirthingman Sirthingman Sirthingman Sirthingman Sirthingman encerboardboardboardboardboard Sirthingman thingboardboard Sirthingman encer encer', 'Alistencer detencer Enquibencer Sirthingman Siddencer', '16th today point in time 16th today', 'Yunmen Gate, No. 11 part of Yunmen Gate, No. 11', '8-34 am point in time 8:34 am', 'City was burglarized location City', 'unit part of unit', 'Alistencer item of Enthingman Enencerboard Sirthingman Siddencer encer encer encer', 'Kowloonoon located in the administrative territorial entity Kowloonoon', 'follow-up follows follow-up', '2008 Summer Olympics point in time 2008', 'Alistencer antagonist Enquintintintintencer', 'missing facet of case', 'burglary subclass of burglary', 'Criminal Investigation Team 2 subsidiary Police District Criminal Investigation Team 2', 'case main subject missing', 'unit in subclass of unit', 'Alistencer item of Enquencer Alistboardboarder', 'The case significant event missing', 'Alistencer detencer Enquisencer', 'Alistencer sharesheed Alistencer', 'Alistencer iceboarder Enquisencer', 'Kowloon City different from Kowloon City', 'Alistencer item of Enquencer SirEnquencer Sirthingman Sirencer']",theft or burglary,"['burglary subclass of burglary', 'City was burglarized location City', 'Criminal Investigation Team 2 subsidiary Police District Criminal Investigation Team 2', 'case main subject missing', 'missing facet of case', 'The case significant event missing', 'Alistencer detencer Enquisencer', '16th today point in time 16th today', 'follow-up follows follow-up', 'Kowloon City different from Kowloon City', 'Alistencer antagonist Enquintintintintencer', 'Kowloonoon located in the administrative territorial entity Kowloonoon', 'Alistencer sharesheed Alistencer', 'unit in subclass of unit', 'Alistencer item of Enthingman Enencerboard Sirthingman Siddencer encer encer encer', 'Alistencer detencer Enquibencer Sirthingman Siddencer', '8-34 am point in time 8:34 am', 'Yunmen Gate, No. 11 part of Yunmen Gate, No. 11', 'unit part of unit']"
741,16,16,"['Facebook owned by Commercial Taiwan', 'interviews part of freedom of press', 'interviews practiced by reporters', 'report the truth facet of society', 'backpack part of backpack', 'sponge bullet subclass of punctured', 'freedom of speech main subject freedom of speech', 'Chief Executive subclass of Chief Executive', 'journalists subclass of journalists', 'stop any obstruction subclass of follow up', 'News Executives applies to jurisdiction Hong Kong', 'John F. Kennedy School of Government part of Harvard University', 'officers part of police', 'Commercial Channel instance of police', 'riot gunfire part of riot', 'freedom of speech facet of freedom of speech', 'freedom of speech has part freedom of speech', 'journalism practiced by journalism', 'violence has effect chaos', 'reporter field of this occupation interview', 'journalism field of this occupation journalism', 'riot police field of work riot', 'police officers applies to jurisdiction authorities', 'police facet of rioting', 'Chief Executive appointed by Chief Executive', 'follow up subclass of investigate', 'rioting participant police', 'Journalists Association member of police', 'fourth power supervision facet of Hong Kong News Executives', 'follow up follows stop any obstruction', 'The Great Gatsby author Anthony Gatsby', 'his backpack subclass of backpack', 'News Executives Association field of work journalism', 'Commercial Channel employer police', 'Radio located in the administrative territorial entity Hong Kong', 'riot has part gunfire', 'police officers subclass of authorities', 'report subclass of truth', 'violence and chaos opposite of chaos', 'violence and chaos subclass of chaos']",protest and riot,"['riot gunfire part of riot', 'rioting participant police', 'riot police field of work riot', 'violence has effect chaos', 'violence and chaos subclass of chaos', 'police facet of rioting', 'violence and chaos opposite of chaos', 'riot has part gunfire', 'officers part of police', 'follow up follows stop any obstruction', 'Commercial Channel instance of police', 'sponge bullet subclass of punctured', 'Commercial Channel employer police', 'journalism field of this occupation journalism', 'stop any obstruction subclass of follow up', 'police officers subclass of authorities', 'reporter field of this occupation interview', 'report the truth facet of society', 'Journalists Association member of police']"
742,17,17,"['police facet of police', 'Henry Wadsworth Longfellow notable work Canterbury Tales', 'drive part of train', 'the potential for serious serious has effect serious', 'railway has part antenna', 'petrol bombs use trains with fire', 'light rail has parts of the class light rail trains', 'fire attack subclass of fire', '2008 Summer Olympics point in time 2008', 'incinerated trains subclass of trains', 'MTR has part MTR', 'East Rail Line connects with East Rail Line', 'fire extinguisher use fire extinguisher', 'violence use violence', 'non-cooperation incident facet of non-cooperation incident', 'police field of work police', 'the potential for serious serious subclass of incinerated trains', 'police applies to jurisdiction police', 'Mong Kok Station instance of light box', 'Tung Chung Station part of Tung Chung Station', 'one of whom part of train', 'incomplete said to be the same as incomplete', '2012 point in time 2012', 'MTR significant event MTR attacking MTR', 'incomplete subclass of incomplete', 'fire attacks has cause fire', 'University Station different from University Station', 'Tung Chung Station different from Tung Chung Station', 'protesters blocking blocking part of protesters', 'John F. Kennedy School of Government part of Harvard University', 'petrol bomb has part petrol']",protest and riot,"['protesters blocking blocking part of protesters', 'violence use violence', 'fire attacks has cause fire', 'the potential for serious serious subclass of incinerated trains', 'the potential for serious serious has effect serious', 'MTR significant event MTR attacking MTR', 'fire attack subclass of fire', 'petrol bombs use trains with fire', 'police facet of police', 'police field of work police', 'fire extinguisher use fire extinguisher', '2012 point in time 2012', 'petrol bomb has part petrol', 'police applies to jurisdiction police', 'non-cooperation incident facet of non-cooperation incident', 'incinerated trains subclass of trains', 'drive part of train', 'East Rail Line connects with East Rail Line', '2008 Summer Olympics point in time 2008']"
743,18,18,"['strategic focus subclass of focus', 'Xi Jinping diplomatic relation Brazil', 'second point in time second', 'open market subclass of market', 'share extensive common interests country Brazil', 'share extensive common interests country China', 'China head of state Xi Jinping', 'iron ore facet of iron ore', 'General Assembly part of United Nations', 'Brazil instance of emerging market countries', 'multilateralism subclass of multilateralism', 'personnel exchanges instance of cultural exchanges', 'Brazil has the ability to overcome disasters country Brazil', 'Brazil shares border with China', 'Pakistan shares border with Brazil', 'open world economy facet of open world economy', ""BRICS leaders' meeting country Brazil"", 'Brazil diplomatic relation Pakistan', 'previous one followed by the results were gratifying', 'open market facet of long-term', 'multilateralism said to be the same as multilateralism', 'China diplomatic relation Hong Kong', 'infrastructure construction product or material produced infrastructure', 'second second participant Xi Jinping', 'emerging market countries subclass of countries', 'Eastern instance of Hemispheres', 'Western Hemispheres instance of Hemispheres', 'equal treatment instance of mutual respect', 'Pakistan diplomatic relation Brazil', 'China-Brazil cooperation country China', 'China contains administrative territorial entity Hong Kong', 'China International Import Expo country Brazil', 'China supports its own companies in actively participating in Brazil country Brazil', 'Pakistan diplomatic relation China']",International Politics and Diplomacy,"['Pakistan diplomatic relation China', 'China diplomatic relation Hong Kong', 'Brazil diplomatic relation Pakistan', 'personnel exchanges instance of cultural exchanges', 'Xi Jinping diplomatic relation Brazil', 'Pakistan diplomatic relation Brazil', 'General Assembly part of United Nations', 'strategic focus subclass of focus', 'equal treatment instance of mutual respect', ""BRICS leaders' meeting country Brazil"", 'China-Brazil cooperation country China', 'open world economy facet of open world economy', 'China International Import Expo country Brazil', 'multilateralism subclass of multilateralism', 'share extensive common interests country China', 'China contains administrative territorial entity Hong Kong', 'China head of state Xi Jinping', 'emerging market countries subclass of countries', 'open market subclass of market']"
744,19,19,"['other countries subclass of substantive', 'method of service by announcement subclass of announcement', 'trial has cause indictment', 'other countries has part substantive', '1965 point in time 1965', 'Supreme Court country United States of America', 'official newspaper use served', 'comfort women facet of comfort women issue', 'South Korean territory country South Korea', 'security different from sovereignty', 'South Korea diplomatic relation Japan', 'refuses to receive the document instance of refuses to receive the document', 'judicial different from judicial jurisdiction', 'South Korea instance of territory', 'trial subclass of trial', 'The Hague Convention part of Hague Convention', '2009 point in time 2009', 'South Korean judicial circles country South Korea', 'Japanese government country Japan', 'legislative part of administrative', 'territory country South Korea', 'trial different from trial', 'administrative different from legislative', 'state sovereign immunity instance of state sovereign immunity', 'legislative different from administrative', 'official newspaper subclass of document', 'indictment has effect trial can begin', 'administrative has part legislative', 'court bulletin board instance of court bulletin board', 'trial can begin has cause indictment']",International Politics and Diplomacy,"['South Korea diplomatic relation Japan', 'method of service by announcement subclass of announcement', 'legislative part of administrative', 'administrative different from legislative', 'official newspaper subclass of document', 'legislative different from administrative', 'state sovereign immunity instance of state sovereign immunity', 'administrative has part legislative', 'The Hague Convention part of Hague Convention', 'trial subclass of trial', 'South Korean judicial circles country South Korea', 'other countries subclass of substantive', 'security different from sovereignty', 'trial different from trial', 'other countries has part substantive', 'South Korean territory country South Korea', 'court bulletin board instance of court bulletin board', 'South Korea instance of territory', 'official newspaper use served']"
745,20,20,"['National Association of Manufacturers field of work trade policy', 'China member of Reuters', 'The network is now safe has cause investigated the incident', 'cyber attacks has part target of cyber attacks', 'Trump position held US President', 'hackers has effect data stolen', 'China is trying to gain gain country China', 'US President Trump influenced by Jay Timmons', 'trade deal country China', 'network owned by company', 'United States diplomatic relation China', 'hackers country Chinese', 'President Trump country of citizenship U.S.', 'China diplomatic relation United States', 'Erin Streeter named after Erin Streeter', 'Erin Streeter occupation Erin Streeter', 'Ukraine diplomatic relation Russia', 'cybersecurity subclass of cybersecurity', 'hacker groups field of work cybersecurity', 'Chinese hackers time period the past', 'hackers field of this occupation steal data']",Economics and Trade,"['trade deal country China', 'National Association of Manufacturers field of work trade policy', 'network owned by company', 'China is trying to gain gain country China', 'hackers has effect data stolen', 'cyber attacks has part target of cyber attacks', 'hacker groups field of work cybersecurity', 'China diplomatic relation United States', 'China member of Reuters', 'cybersecurity subclass of cybersecurity', 'Erin Streeter occupation Erin Streeter', 'hackers country Chinese', 'hackers field of this occupation steal data', 'The network is now safe has cause investigated the incident', 'Trump position held US President', 'United States diplomatic relation China', 'President Trump country of citizenship U.S.', 'Chinese hackers time period the past', 'Erin Streeter named after Erin Streeter']"
